ROI,CV accuracy,ROC_accuracy,ROC_accuracy_se,ROC_accuracy_p_value,ROC_accuracy_p,ROC_sensitivity,ROC_specificity,ROC_AUC,ROC_PPV,ROC_FC_accuracy,ROC_FC_accuracy_se,ROC_FC_accuracy_p_value,ROC_FC_accuracy_p,ROC_FC_sensitivity,ROC_FC_specificity,ROC_FC_AUC,ROC_FC_PPV
whole_brain_dc,0.6304347826086957,0.6847826086956521,0.07139352220432452,0.000509090224349734,"BinomTestResult(k=63, n=92, alternative='two-sided', statistic=0.6847826086956522, pvalue=0.000509090224349734)",0.6086956521739131,0.7608695652173914,0.6727315689981095,0.717948717948718,0.7173913043478262,0.10577357724155664,0.004533861582189047,"BinomTestResult(k=33, n=46, alternative='two-sided', statistic=0.717391304347826, pvalue=0.004533861582189047)",0.7416783051233654,0.7416783051233654,0.7416783051233654,0.7416783051233654
whole_brain_oo,0.5760869565217391,0.6304347826086957,0.06572736964842574,0.01602027478889998,"BinomTestResult(k=58, n=92, alternative='two-sided', statistic=0.6304347826086957, pvalue=0.01602027478889998)",0.717391304347826,0.5434782608695652,0.5775047258979206,0.6111111111111112,0.5869565217391304,0.08654201774309181,0.3019956131896606,"BinomTestResult(k=27, n=46, alternative='two-sided', statistic=0.5869565217391305, pvalue=0.3019956131896606)",0.5769963291032187,0.5769963291032187,0.5769963291032187,0.5769963291032187
