mean,p
-0.03061170668816308,0.13333866661333388
-0.049057489822056974,0.0006199938000619994
-0.03865495162531441,0.053119468805311945
0.00909191384490226,0.7122328776712233
-0.08612560326781135,9.99990000099999e-06
-0.01843411957762792,0.45245547544524556
-0.05896001477779839,4.999950000499995e-05
-0.03889004218855968,0.008479915200847992
0.02203791885520736,0.3232667673323267
-0.02631014744854233,0.1906480935190648
0.04600076159781491,0.06443935560644394
0.022754766814092203,0.44509554904450954
-0.0011107399429886844,0.9407805921940781
-0.04728932832950855,0.012159878401215988
-0.05487566893967771,0.000949990500094999
-0.023008211734719477,0.2950870491295087
0.0027847693747991933,0.8876611233887661
-0.09286253131013503,9.99990000099999e-06
-0.037611840459804195,0.1058689413105869
-0.03011285761460216,0.15767842321576783
-0.013942109008313596,0.44263557364426354
-0.017015031391445782,0.4994550054499455
-0.03881092097855926,0.017849821501784983
-0.08659869462710702,2.999970000299997e-05
0.025919733061174306,0.22752772472275276
-0.03416535082890801,0.028129718702812972
-0.05959061858519582,0.013249867501324987
-0.05927828352026945,0.0025999740002599974
-0.033024816361263996,0.14225857741422585
-0.04071657760142515,0.026559734402655973
-0.0405990905739499,0.03107968920310797
-0.006399137806007584,0.6955130448695513
-0.07171712723228947,9.99990000099999e-06
-0.02033674944454664,0.14468855311446885
-0.05652782650750165,0.003919960800391996
-0.038140598386349325,0.02874971250287497
-0.0787264882435452,0.0006699933000669994
-0.037716187802535654,0.044189558104418956
-0.004783969973957538,0.7958420415795842
-0.03932289382883382,0.09474905250947491
-0.02335640364935381,0.28265717342826574
-0.00318678122201232,0.8732812671873281
-0.016147510433405676,0.40708592914070857
0.03448852808543097,0.13846861531384685
0.017269455165685225,0.3471965280347197
-0.0015818213287148236,0.9416905830941691
-0.019588304108612665,0.2882771172288277
-0.002353657693567853,0.8993010069899301
-0.07245972362423592,1.999980000199998e-05
-0.01278325803692518,0.5519744802551975
-0.024621568130332058,0.14576854231457687
0.012372133264194457,0.5898741012589874
-0.03578935122083328,0.12557874421255788
-0.06568430589586886,2.999970000299997e-05
-0.017319555190635435,0.3788462115378846
-0.09078688092437343,9.99990000099999e-06
-0.07617782060979776,4.999950000499995e-05
0.03192472498261793,0.13115868841311587
-0.0652828862600301,0.001149988500114999
-0.05405665468696375,0.0007799922000779992
-0.017435044076759193,0.45056549434505655
-0.07249722988632214,4.999950000499995e-05
0.03174627691863836,0.15387846121538784
0.007973797132212026,0.6343336566634333
-0.035062996085351766,0.08676913230867692
-0.07149094635366034,0.0008599914000859991
0.012320959622806155,0.6189138108618913
-0.02194433996682396,0.2878071219287807
-0.021672915842835476,0.28256717432825673
-0.006808143498795882,0.7777522224777752
-0.01524387211177336,0.43165568344316557
-0.03812518306719053,0.028459715402845972
-0.049977958826155675,0.011599884001159988
-0.06342958039331356,0.0014599854001459986
-0.021804869109174316,0.1954680453195468
-0.0009012196695295522,0.973530264697353
-0.01679141347682356,0.3049469505304947
-0.007819705364578891,0.7037229627703723
-0.036581263106299014,0.038369616303836965
-0.03869317561952851,0.035589644103558964
0.0053516441342463415,0.7881721182788172
-0.030364230674998625,0.07311926880731193
-0.09200008701432276,9.99990000099999e-06
-0.05038717888301512,0.0059899401005989944
0.022761354287918513,0.2585774142258577
-0.045763432095243084,0.015679843201567983
-0.007668406703608871,0.7248127518724813
-0.03128504502606483,0.08361916380836192
0.00771734071174749,0.7752122478775212
-0.03716165273463991,0.07885921140788592
-0.045831656015125385,0.016849831501684984
0.014040091852769528,0.5936440635593644
-0.049518982605633644,0.0052699473005269944
-0.0015276596775256966,0.9560504394956051
0.01793591944079857,0.4360556394436056
-0.06810605504008631,5.999940000599994e-05
0.014291522350798553,0.46426535734642654
-0.10040033339793938,9.99990000099999e-06
-0.013162741233953544,0.5580544194558055
-0.03973725165724996,0.053489465105348945
-0.06356991044337,0.001089989100108999
-0.015253982404903079,0.4852151478485215
0.001633785269926401,0.9346906530934691
-0.0911598094637732,9.99990000099999e-06
0.00717914061840742,0.7784722152778473
